ProductID,Name,ProductNumber,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,ProductSubcategoryID,SellStartDate,SellEndDate,DiscontinuedDate
1,Adjustable Race,AR-5381,1000,750,0,0,,2019-04-30 00:00:00,,
2,Bearing Ball,BA-8327,1000,750,0,0,,2019-04-30 00:00:00,,
3,BB Ball Bearing,BE-2349,800,600,0,0,,2019-04-30 00:00:00,,
4,Headset Ball Bearings,BE-2908,800,600,0,0,,2019-04-30 00:00:00,,
316,Blade,BL-2036,800,600,0,0,,2019-04-30 00:00:00,,
317,LL Crankarm,CA-5965,500,375,0,0,,2019-04-30 00:00:00,,
318,ML Crankarm,CA-6738,500,375,0,0,,2019-04-30 00:00:00,,
319,HL Crankarm,CA-7457,500,375,0,0,,2019-04-30 00:00:00,,
320,Chainring Bolts,CB-2903,1000,750,0,0,,2019-04-30 00:00:00,,
321,Chainring Nut,CN-6137,1000,750,0,0,,2019-04-30 00:00:00,,
322,Chainring,CR-7833,1000,750,0,0,,2019-04-30 00:00:00,,
323,Crown Race,CR-9981,1000,750,0,0,,2019-04-30 00:00:00,,
324,Chain Stays,CS-2812,1000,750,0,0,,2019-04-30 00:00:00,,
325,Decal 1,DC-8732,1000,750,0,0,,2019-04-30 00:00:00,,
326,Decal 2,DC-9824,1000,750,0,0,,2019-04-30 00:00:00,,
327,Down Tube,DT-2377,800,600,0,0,,2019-04-30 00:00:00,,
328,Mountain End Caps,EC-M092,1000,750,0,0,,2019-04-30 00:00:00,,
329,Road End Caps,EC-R098,1000,750,0,0,,2019-04-30 00:00:00,,
330,Touring End Caps,EC-T209,1000,750,0,0,,2019-04-30 00:00:00,,
331,Fork End,FE-3760,800,600,0,0,,2019-04-30 00:00:00,,
332,Freewheel,FH-2981,500,375,0,0,,2019-04-30 00:00:00,,
341,Flat Washer 1,FW-1000,1000,750,0,0,,2019-04-30 00:00:00,,
342,Flat Washer 6,FW-1200,1000,750,0,0,,2019-04-30 00:00:00,,
343,Flat Washer 2,FW-1400,1000,750,0,0,,2019-04-30 00:00:00,,
344,Flat Washer 9,FW-3400,1000,750,0,0,,2019-04-30 00:00:00,,
345,Flat Washer 4,FW-3800,1000,750,0,0,,2019-04-30 00:00:00,,
346,Flat Washer 3,FW-5160,1000,750,0,0,,2019-04-30 00:00:00,,
347,Flat Washer 8,FW-5800,1000,750,0,0,,2019-04-30 00:00:00,,
348,Flat Washer 5,FW-7160,1000,750,0,0,,2019-04-30 00:00:00,,
349,Flat Washer 7,FW-9160,1000,750,0,0,,2019-04-30 00:00:00,,
350,Fork Crown,FC-3654,800,600,0,0,,2019-04-30 00:00:00,,
351,Front Derailleur Cage,FC-3982,800,600,0,0,,2019-04-30 00:00:00,,
352,Front Derailleur Linkage,FL-2301,800,600,0,0,,2019-04-30 00:00:00,,
355,Guide Pulley,GP-0982,800,600,0,0,,2019-04-30 00:00:00,,
356,LL Grip Tape,GT-0820,800,600,0,0,,2019-04-30 00:00:00,,
357,ML Grip Tape,GT-1209,800,600,0,0,,2019-04-30 00:00:00,,
358,HL Grip Tape,GT-2908,800,600,0,0,,2019-04-30 00:00:00,,
359,Thin-Jam Hex Nut 9,HJ-1213,1000,750,0,0,,2019-04-30 00:00:00,,
360,Thin-Jam Hex Nut 10,HJ-1220,1000,750,0,0,,2019-04-30 00:00:00,,
361,Thin-Jam Hex Nut 1,HJ-1420,1000,750,0,0,,2019-04-30 00:00:00,,
362,Thin-Jam Hex Nut 2,HJ-1428,1000,750,0,0,,2019-04-30 00:00:00,,
363,Thin-Jam Hex Nut 15,HJ-3410,1000,750,0,0,,2019-04-30 00:00:00,,
364,Thin-Jam Hex Nut 16,HJ-3416,1000,750,0,0,,2019-04-30 00:00:00,,
365,Thin-Jam Hex Nut 5,HJ-3816,1000,750,0,0,,2019-04-30 00:00:00,,
366,Thin-Jam Hex Nut 6,HJ-3824,1000,750,0,0,,2019-04-30 00:00:00,,
367,Thin-Jam Hex Nut 3,HJ-5161,1000,750,0,0,,2019-04-30 00:00:00,,
368,Thin-Jam Hex Nut 4,HJ-5162,1000,750,0,0,,2019-04-30 00:00:00,,
369,Thin-Jam Hex Nut 13,HJ-5811,1000,750,0,0,,2019-04-30 00:00:00,,
