SalesOrderID,OrderDate,CustomerID,TerritoryID,SubTotal,TaxAmt,Freight,TotalDue
43659,2022-05-30 00:00:00,29825,5,20565.6206,1971.5149,616.0984,23153.2339
43660,2022-05-30 00:00:00,29672,5,1294.2529,124.2483,38.8276,1457.3288
43661,2022-05-30 00:00:00,29734,6,32726.4786,3153.7696,985.553,36865.8012
43662,2022-05-30 00:00:00,29994,6,28832.5289,2775.1646,867.2389,32474.9324
43663,2022-05-30 00:00:00,29565,4,419.4589,40.2681,12.5838,472.3108
43664,2022-05-30 00:00:00,29898,1,24432.6088,2344.9921,732.81,27510.4109
43665,2022-05-30 00:00:00,29580,1,14352.7713,1375.9427,429.9821,16158.6961
43666,2022-05-30 00:00:00,30052,4,5056.4896,486.3747,151.9921,5694.8564
43667,2022-05-30 00:00:00,29974,3,6107.082,586.1203,183.1626,6876.3649
43668,2022-05-30 00:00:00,29614,6,35944.1562,3461.7654,1081.8017,40487.7233
43669,2022-05-30 00:00:00,29747,1,714.7043,70.5175,22.0367,807.2585
43670,2022-05-30 00:00:00,29566,3,6122.082,587.5603,183.6126,6893.2549
43671,2022-05-30 00:00:00,29890,1,8128.7876,780.8136,244.0042,9153.6054
43672,2022-05-30 00:00:00,30067,6,6124.182,587.6023,183.6257,6895.41
43673,2022-05-30 00:00:00,29844,2,3746.2015,357.9614,111.8629,4216.0258
43674,2022-05-30 00:00:00,29596,6,2624.382,251.9407,78.7315,2955.0542
43675,2022-05-30 00:00:00,29827,3,5716.3102,546.8759,170.8987,6434.0848
43676,2022-05-30 00:00:00,29811,5,14203.458,1363.266,426.0206,15992.7446
43677,2022-05-30 00:00:00,29824,6,7793.1108,747.1011,233.4691,8773.681
43678,2022-05-30 00:00:00,29889,4,9799.9243,942.074,294.3981,11036.3964
43679,2022-05-30 00:00:00,29761,6,1316.0575,125.8032,39.3135,1481.1742
43680,2022-05-30 00:00:00,29489,4,11397.4992,1093.6394,341.7623,12832.9009
43681,2022-05-30 00:00:00,29661,5,13787.5434,1323.0668,413.4584,15524.0686
43682,2022-05-30 00:00:00,29759,2,3875.7229,371.8002,116.1876,4363.7107
43683,2022-05-30 00:00:00,29497,1,42813.4333,4107.1489,1283.484,48204.0662
43684,2022-05-30 00:00:00,29912,5,5596.4705,537.2612,167.8941,6301.6258
43685,2022-05-30 00:00:00,30084,5,2736.5678,263.201,82.2503,3082.0191
43686,2022-05-30 00:00:00,29606,1,3463.2998,332.4768,103.899,3899.6756
43687,2022-05-30 00:00:00,29610,2,1258.3767,120.8042,37.7513,1416.9322
43688,2022-05-30 00:00:00,29718,2,12718.0844,1222.8838,382.1512,14323.1194
43689,2022-05-30 00:00:00,29646,4,33997.3702,3271.4942,1022.3419,38291.2063
